Année;Code Commune;Nom Commune;Code EPCI;Nom EPCI;Type EPCI;Code Département;Nom Département;Code Région;Nom Région;CODE CATEGORIE CONSOMMATION;CODE GRAND SECTEUR;CODE SECTEUR NAF2;Nb sites;Conso totale (MWh);Conso moyenne (MWh);Nombre de mailles secretisées;Part thermosensible (%);Conso totale  usages thermosensibles (MWh);Conso totale  usages non thermosensibles (MWh);Thermosensibilité totale (kWh/DJU);Conso totale corrigée de l'aléa climatique  usages thermosensibles (MWh);Conso moyenne usages thermosensibles (MWh);Conso moyenne  usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh/DJU);Conso moyenne corrigée de l'aléa climatique  usages thermosensibles (MWh);DJU à TR;DJU à TN;Nombre d'habitants;Taux de logements collectifs;Taux de résidences principales;Superficie des logements < 30 m2;Superficie des logements 30 à 40 m2;Superficie des logements 40 à 60 m2;Superficie des logements 60 à 80 m2;Superficie des logements 80 à 100 m2;Superficie des logements > 100 m2;Résidences principales avant 1919;Résidences principales de 1919 à 1945;Résidences principales de 1946 à 1970;Résidences principales de 1971 à 1990;Résidences principales de 1991 à 2005;Résidences principales de 2006 à 2015;Résidences principales après 2016;Taux de chauffage électrique;geom;centroid
2020;36085;Guilly;200068880;CC Champagne Boischauts;CC;36;Indre;24;Centre-Val de Loire;PRO;AGRICULTURE;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.084920111, 1.734224456
2020;36085;Guilly;200068880;CC Champagne Boischauts;CC;36;Indre;24;Centre-Val de Loire;PRO;TERTIAIRE;;11;58.30588655934814;5.300535141758922;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.084920111, 1.734224456
2020;45164;Guilly;200070100;CC du Val de Sully;CC;45;Loiret;24;Centre-Val de Loire;ENT;INDUSTRIE;08;1;514.3521666666667;514.3521666666667;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.805221795, 2.271966315
2020;45164;Guilly;200070100;CC du Val de Sully;CC;45;Loiret;24;Centre-Val de Loire;ENT;TERTIAIRE;45;1;7.12367240030161;7.12367240030161;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.805221795, 2.271966315
2020;45165;Gy-les-Nonains;200067668;CC de la Cléry, du Betz et de l'Ouanne;CC;45;Loiret;24;Centre-Val de Loire;PRO;INDUSTRIE;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.929004259, 2.846266776
2020;45152;Gémigny;200035764;CC de la Beauce Loirétaine;CC;45;Loiret;24;Centre-Val de Loire;PRO;AGRICULTURE;;5;57.8154647407404;11.56309294814808;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.962627442, 1.702548978
2020;45152;Gémigny;200035764;CC de la Beauce Loirétaine;CC;45;Loiret;24;Centre-Val de Loire;PRO;TERTIAIRE;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;47.962627442, 1.702548978
2020;28191;Hanches;200069953;CC des Portes Euréliennes d'Île-de-France;CC;28;Eure-et-Loir;24;Centre-Val de Loire;ENT;TERTIAIRE;38;1;17.659;17.659;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.597413287, 1.648561944
2020;28191;Hanches;200069953;CC des Portes Euréliennes d'Île-de-France;CC;28;Eure-et-Loir;24;Centre-Val de Loire;ENT;TERTIAIRE;46;1;122.51182519760762;122.51182519760762;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.597413287, 1.648561944
2020;28191;Hanches;200069953;CC des Portes Euréliennes d'Île-de-France;CC;28;Eure-et-Loir;24;Centre-Val de Loire;ENT;TERTIAIRE;97;1;25.516;25.516;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;48.597413287, 1.648561944
